 |14|山西省|省|
142330001|142330001022|树林则|村|
142330001|142330001023|高明|村|
142330001|142330001024|庄则上|村|
142330001|142330001025|四皓|村|
142330001|142330001026|龙泉|村|
142330001|142330001027|赤街|村|
142330001|142330001028|温家庄|村|
142330001|142330001029|赤街会|村|
142330001|142330001030|杨家坪|村|
142330001|142330001031|周家沟|村|
142330002|142330002001|赤红|村|
142330002|142330002002|代咀|村|
142330002|142330002003|积翠|村|
142330002|142330002004|水神沟|村|
142330002|142330002005|卧龙潭|村|
142330002|142330002006|孔家庄|村|
142330002|142330002007|南虎滩|村|
142330002|142330002008|方山|村|
142330002|142330002009|莴苣沟|村|
142330002|142330002010|凤翼|村|
142330002|142330002011|东王|村|
142330002|142330002012|邦罗|村|
142330002|142330002013|刘家庄|村|
142330002|142330002014|冯家庄|村|
142330002|142330002015|莺峪|村|
142330002|142330002016|南阳|村|
142330003|142330003001|胡堡|村|
142330003|142330003002|西坡|村|
142330003|142330003003|后则沟|村|
142330003|142330003004|焦家峪|村|
142330003|142330003005|石湾|村|
142330003|142330003006|大西沟|村|
142330003|142330003007|麻地会|村|
142330003|142330003008|水沟湾|村|
142330003|142330003009|庄上|村|
142330003|142330003010|韩家沟|村|
142330003|142330003011|运庄|村|
142330003|142330003012|赵庄|村|
142330003|142330003013|郝家庄|村|
142330003|142330003014|桦林坪|村|
142330003|142330003015|冯家庄|村|
142330003|142330003016|阳圪台|村|
142330004|142330004001|津良庄|村|
142330004|142330004002|西山|村|
142330004|142330004003|糜家塔|村|
142330004|142330004004|东沟|村|
142330004|142330004005|东胜山|村|
142330004|142330004006|黄草林|村|
142330004|142330004007|南洼|村|
142330004|142330004008|南后庄|村|
142330004|142330004009|高家山|村|
142330004|142330004010|果则园|村|
142330004|142330004011|秦家坡|村|
142330004|142330004012|槐树墕|村|
142330004|142330004013|石站头|村|
142330004|142330004014|胡家岭|村|
142330004|142330004015|袁家甲|村|
142330004|142330004016|潘家坂|村|
142330004|142330004017|车道崖|村|
142330004|142330004018|桑家会|村|
142330004|142330004019|圪洞|村|
142330004|142330004020|高家庄|村|
142330004|142330004021|建军庄|村|
142330004|142330004022|阳湾|村|
142330004|142330004023|务云塔|村|
142330004|142330004024|水沟|村|
142330004|142330004025|武家湾|村|
142330004|142330004026|古贤|村|
142330004|142330004027|横沟|村|
142330004|142330004028|班庄|村|
142330004|142330004029|庄上|村|
142330004|142330004030|前东旺坪|村|
142330004|142330004031|后东旺坪|村|
142330004|142330004032|郭家湾|村|
142330005|142330005001|呼家湾|村|
142330005|142330005002|任家山|村|
142330005|142330005003|张家塔|村|
142330005|142330005004|花果山|村|
142330005|142330005005|上村|村|
142330005|142330005006|下村|村|
142330005|142330005007|韩家山|村|
142330005|142330005008|郝家墕|村|
142330005|142330005009|常家山|村|
142330005|142330005010|杜家会|村|
142330005|142330005011|西村|村|
142330005|142330005012|阳峁|村|
142330005|142330005013|牛家岭|村|
142330005|142330005014|宗家山|村|
142330005|142330005015|横泉|村|
142330005|142330005016|土福则|村|
142330005|142330005017|吉家庄|村|
142330005|142330005018|花家坡|村|
142330005|142330005019|周家山|村|
142330005|142330005020|田家坡|村|
142330005|142330005021|圪叉咀|村|
142330005|142330005022|乔沟|村|
142330005|142330005023|东湾|村|
142330005|142330005024|兴隆湾|村|
142330005|142330005025|圪针湾|村|
142330005|142330005026|石板梁|村|
142330005|142330005027|峪口|村|
142330005|142330005028|安上|村|
142330005|142330005029|西山|村|
142330005|142330005030|新庄|村|
142330005|142330005031|前南村|村|
142330005|142330005032|南村|村|
142330006|142330006001|占古|村|
142330006|142330006002|松泉|村|
142330006|142330006003|武当|村|
142330006|142330006004|韩庄|村|
142330006|142330006005|来堡|村|
142330006|142330006006|河庄|村|
142330006|142330006007|下昔|村|
142330006|142330006008|庙底|村|
142330006|142330006009|暖泉会|村|
142330006|142330006010|阳湾|村|
142330006|142330006011|新民|村|
142330007|142330007001|阳和沟|村|
142330007|142330007002|龙凤村|村|
142330007|142330007003|石门墕|村|
142330007|142330007004|杨家村|村|
142330007|142330007005|水源|村|
142330007|142330007006|闫家山|村|
142330007|142330007007|下庄|村|
142330007|142330007008|王家庄|村|
142330007|142330007009|水沟|村|
142330007|142330007010|店坪|村|
142330007|142330007011|新房|村|
142330007|142330007013|西相王|村|
142330007|142330007014|杨家会|村|
142330007|142330007015|东坡|村|
142330007|142330007016|杨家塔|村|
142330007|142330007017|张家耳|村|
142330007|142330007018|高家沟|村|
142330007|142330007019|举人头|村|
142330007|142330007020|郭家沟|村|
142330007|142330007021|红罗沟|村|
142330007|142330007022|大武一村|村|
142330007|142330007023|大武二村|村|
142330007|142330007024|大武三村|村|
142330007|142330007025|大武四村|村|
142330007|142330007026|东相王|村|
142330007|142330007027|相当|村|
142330007|142330007028|雅湾|村|
142330007|142330007029|新洞上|村|
142330007|142330007030|武回庄|村|
142330007|142330007031|武家庄|村|
142330007|142330007012|保安|村|
142303001|142303001001|交口|村|
142303001|142303001002|蔚家沟|村|
142303001|142303001003|高新村|村|
