 |14|山西省| |省| |SHENG| |101|0|2
142328|142328006|前山乡| |乡| |XIANG| |104|0|9
142328|142328007|灵泉镇| |乡| |XIANG| |104|0|9
142328|142328008|罗村镇| |乡| |XIANG| |104|0|9
142328|142328009|和合乡| |乡| |XIANG| |104|0|9
142322|142322001|开栅镇| |乡| |XIANG| |104|0|9
142322|142322002|西城乡| |乡| |XIANG| |104|0|9
142322|142322003|南庄镇| |乡| |XIANG| |104|0|9
142322|142322004|南安镇| |乡| |XIANG| |104|0|9
142322|142322005|凤城镇| |乡| |XIANG| |104|0|9
142322|142322006|南武乡| |乡| |XIANG| |104|0|9
142322|142322007|刘胡兰镇| |乡| |XIANG| |104|0|9
142322|142322008|马西乡| |乡| |XIANG| |104|0|9
142322|142322009|孝义镇| |乡| |XIANG| |104|0|9
142322|142322010|北张乡| |乡| |XIANG| |104|0|9
142322|142322011|下曲镇| |乡| |XIANG| |104|0|9
142322|142322012|西槽头乡| |乡| |XIANG| |104|0|9
142301|142301001|杜村乡| |乡| |XIANG| |104|0|9
142301|142301002|南阳乡| |乡| |XIANG| |104|0|9
142301|142301003|下堡镇| |乡| |XIANG| |104|0|9
142301|142301004|兑镇镇| |乡| |XIANG| |104|0|9
142301|142301005|高阳镇| |乡| |XIANG| |104|0|9
142301|142301006|新义办| |乡| |XIANG| |104|0|9
142301|142301007|中阳楼办| |乡| |XIANG| |104|0|9
142301|142301008|振兴办| |乡| |XIANG| |104|0|9
142301|142301009|阳泉曲镇| |乡| |XIANG| |104|0|9
142301|142301010|西辛庄镇| |乡| |XIANG| |104|0|9
142301|142301011|柱濮镇| |乡| |XIANG| |104|0|9
142301|142301012|驿马乡| |乡| |XIANG| |104|0|9
142301|142301013|东许办| |乡| |XIANG| |104|0|9
142301|142301014|梧桐镇| |乡| |XIANG| |104|0|9
142301|142301015|下栅乡| |乡| |XIANG| |104|0|9
142301|142301016|大孝堡乡| |乡| |XIANG| |104|0|9
142301|142301017|胜溪湖街道办事处| |乡| |XIANG| |104|0|9
142301|142301018|崇文街道办事处| |乡| |XIANG| |104|0|9
142325|142325001|瓦塘镇| |乡| |XIANG| |104|0|9
142325|142325002|魏家滩镇| |乡| |XIANG| |104|0|9
142325|142325003|高家村镇| |乡| |XIANG| |104|0|9
142325|142325004|蔡家崖乡| |乡| |XIANG| |104|0|9
142325|142325005|蔚汾镇| |乡| |XIANG| |104|0|9
142325|142325006|奥家湾乡| |乡| |XIANG| |104|0|9
142325|142325007|恶虎滩乡| |乡| |XIANG| |104|0|9
142325|142325008|交楼申乡| |乡| |XIANG| |104|0|9
142325|142325009|罗峪口镇| |乡| |XIANG| |104|0|9
142325|142325010|赵家坪乡| |乡| |XIANG| |104|0|9
142325|142325011|孟家坪乡| |乡| |XIANG| |104|0|9
142325|142325012|康宁镇| |乡| |XIANG| |104|0|9
142325|142325013|固贤乡| |乡| |XIANG| |104|0|9
142325|142325014|东会乡| |乡| |XIANG| |104|0|9
142325|142325015|圪达上乡| |乡| |XIANG| |104|0|9
142325|142325016|蔡家会镇| |乡| |XIANG| |104|0|9
142325|142325017|贺家会乡| |乡| |XIANG| |104|0|9
142332|142332001|金罗镇| |乡| |XIANG| |104|0|9
142332|142332002|张子山乡| |乡| |XIANG| |104|0|9
142332|142332003|下枣林乡| |乡| |XIANG| |104|0|9
142332|142332004|宁乡镇| |乡| |XIANG| |104|0|9
142332|142332005|枝柯镇| |乡| |XIANG| |104|0|9
142332|142332006|武家庄镇| |乡| |XIANG| |104|0|9
142332|142332007|暖泉镇| |乡| |XIANG| |104|0|9
142330001|142330001001|辉回| |村| |CUN| |105|0|12
142330001|142330001002|西沟| |村| |CUN| |105|0|12
142330001|142330001003|赤坚岭| |村| |CUN| |105|0|12
142330001|142330001004|代坡| |村| |CUN| |105|0|12
142330001|142330001005|杨家沟| |村| |CUN| |105|0|12
142330001|142330001006|麻峪| |村| |CUN| |105|0|12
142330001|142330001007|吴家沟| |村| |CUN| |105|0|12
142330001|142330001008|条则墕| |村| |CUN| |105|0|12
142330001|142330001009|同堡| |村| |CUN| |105|0|12
142330001|142330001010|李家湾| |村| |CUN| |105|0|12
142330001|142330001011|窑上| |村| |CUN| |105|0|12
142330001|142330001012|落辉| |村| |CUN| |105|0|12
142330001|142330001013|油房沟| |村| |CUN| |105|0|12
142330001|142330001014|红崖湾| |村| |CUN| |105|0|12
142330001|142330001015|开府| |村| |CUN| |105|0|12
142330001|142330001016|里其| |村| |CUN| |105|0|12
142330001|142330001017|陈家湾| |村| |CUN| |105|0|12
142330001|142330001018|王家湾| |村| |CUN| |105|0|12
142330001|142330001019|磨地湾| |村| |CUN| |105|0|12
142330001|142330001020|神堂沟| |村| |CUN| |105|0|12
142330001|142330001021|马坊| |村| |CUN| |105|0|12
142330001|142330001022|树林则| |村| |CUN| |105|0|12
142330001|142330001023|高明| |村| |CUN| |105|0|12
142330001|142330001024|庄则上| |村| |CUN| |105|0|12
142330001|142330001025|四皓| |村| |CUN| |105|0|12
142330001|142330001026|龙泉| |村| |CUN| |105|0|12
142330001|142330001027|赤街| |村| |CUN| |105|0|12
142330001|142330001028|温家庄| |村| |CUN| |105|0|12
142330001|142330001029|赤街会| |村| |CUN| |105|0|12
142330001|142330001030|杨家坪| |村| |CUN| |105|0|12
142330001|142330001031|周家沟| |村| |CUN| |105|0|12
142330002|142330002001|赤红| |村| |CUN| |105|0|12
142330002|142330002002|代咀| |村| |CUN| |105|0|12
142330002|142330002003|积翠| |村| |CUN| |105|0|12
142330002|142330002004|水神沟| |村| |CUN| |105|0|12
142330002|142330002005|卧龙潭| |村| |CUN| |105|0|12
142330002|142330002006|孔家庄| |村| |CUN| |105|0|12
142330002|142330002007|南虎滩| |村| |CUN| |105|0|12
142330002|142330002008|方山| |村| |CUN| |105|0|12
142330002|142330002009|莴苣沟| |村| |CUN| |105|0|12
142330002|142330002010|凤翼| |村| |CUN| |105|0|12
142330002|142330002011|东王| |村| |CUN| |105|0|12
142330002|142330002012|邦罗| |村| |CUN| |105|0|12
142330002|142330002013|刘家庄| |村| |CUN| |105|0|12
142330002|142330002014|冯家庄| |村| |CUN| |105|0|12
142330002|142330002015|莺峪| |村| |CUN| |105|0|12
142330002|142330002016|南阳| |村| |CUN| |105|0|12
142330003|142330003001|胡堡| |村| |CUN| |105|0|12
142330003|142330003002|西坡| |村| |CUN| |105|0|12
142330003|142330003003|后则沟| |村| |CUN| |105|0|12
142330003|142330003004|焦家峪| |村| |CUN| |105|0|12
142330003|142330003005|石湾| |村| |CUN| |105|0|12
142330003|142330003006|大西沟| |村| |CUN| |105|0|12
142330003|142330003007|麻地会| |村| |CUN| |105|0|12
142330003|142330003008|水沟湾| |村| |CUN| |105|0|12
142330003|142330003009|庄上| |村| |CUN| |105|0|12
142330003|142330003010|韩家沟| |村| |CUN| |105|0|12
142330003|142330003011|运庄| |村| |CUN| |105|0|12
142330003|142330003012|赵庄| |村| |CUN| |105|0|12
142330003|142330003013|郝家庄| |村| |CUN| |105|0|12
142330003|142330003014|桦林坪| |村| |CUN| |105|0|12
142330003|142330003015|冯家庄| |村| |CUN| |105|0|12
142330003|142330003016|阳圪台| |村| |CUN| |105|0|12
142330004|142330004001|津良庄| |村| |CUN| |105|0|12
142330004|142330004002|西山| |村| |CUN| |105|0|12
142330004|142330004003|糜家塔| |村| |CUN| |105|0|12
142330004|142330004004|东沟| |村| |CUN| |105|0|12
142330004|142330004005|东胜山| |村| |CUN| |105|0|12
142330004|142330004006|黄草林| |村| |CUN| |105|0|12
142330004|142330004007|南洼| |村| |CUN| |105|0|12
142330004|142330004008|南后庄| |村| |CUN| |105|0|12
142330004|142330004009|高家山| |村| |CUN| |105|0|12
142330004|142330004010|果则园| |村| |CUN| |105|0|12
142330004|142330004011|秦家坡| |村| |CUN| |105|0|12
142330004|142330004012|槐树墕| |村| |CUN| |105|0|12
142330004|142330004013|石站头| |村| |CUN| |105|0|12
142330004|142330004014|胡家岭| |村| |CUN| |105|0|12
142330004|142330004015|袁家甲| |村| |CUN| |105|0|12
142330004|142330004016|潘家坂| |村| |CUN| |105|0|12
142330004|142330004017|车道崖| |村| |CUN| |105|0|12
142330004|142330004018|桑家会| |村| |CUN| |105|0|12
142330004|142330004019|圪洞| |村| |CUN| |105|0|12
142330004|142330004020|高家庄| |村| |CUN| |105|0|12
142330004|142330004021|建军庄| |村| |CUN| |105|0|12
142330004|142330004022|阳湾| |村| |CUN| |105|0|12
142330004|142330004023|务云塔| |村| |CUN| |105|0|12
