 |14|山西省| |省| |SHENG| |101|0|2
141126|141126006|前山乡| |乡| |XIANG| |104|0|9
141126|141126007|灵泉镇| |乡| |XIANG| |104|0|9
141126|141126008|罗村镇| |乡| |XIANG| |104|0|9
141126|141126009|和合乡| |乡| |XIANG| |104|0|9
141121|141121001|开栅镇| |乡| |XIANG| |104|0|9
141121|141121002|西城乡| |乡| |XIANG| |104|0|9
141121|141121003|南庄镇| |乡| |XIANG| |104|0|9
141121|141121004|南安镇| |乡| |XIANG| |104|0|9
141121|141121005|凤城镇| |乡| |XIANG| |104|0|9
141121|141121006|南武乡| |乡| |XIANG| |104|0|9
141121|141121007|刘胡兰镇| |乡| |XIANG| |104|0|9
141121|141121008|马西乡| |乡| |XIANG| |104|0|9
141121|141121009|孝义镇| |乡| |XIANG| |104|0|9
141121|141121010|北张乡| |乡| |XIANG| |104|0|9
141121|141121011|下曲镇| |乡| |XIANG| |104|0|9
141121|141121012|西槽头乡| |乡| |XIANG| |104|0|9
141181|141181001|杜村乡| |乡| |XIANG| |104|0|9
141181|141181002|南阳乡| |乡| |XIANG| |104|0|9
141181|141181003|下堡镇| |乡| |XIANG| |104|0|9
141181|141181004|兑镇镇| |乡| |XIANG| |104|0|9
141181|141181005|高阳镇| |乡| |XIANG| |104|0|9
141181|141181006|新义办| |乡| |XIANG| |104|0|9
141181|141181007|中阳楼办| |乡| |XIANG| |104|0|9
141181|141181008|振兴办| |乡| |XIANG| |104|0|9
141181|141181009|阳泉曲镇| |乡| |XIANG| |104|0|9
141181|141181010|西辛庄镇| |乡| |XIANG| |104|0|9
141181|141181011|柱濮镇| |乡| |XIANG| |104|0|9
141181|141181012|驿马乡| |乡| |XIANG| |104|0|9
141181|141181013|东许办| |乡| |XIANG| |104|0|9
141181|141181014|梧桐镇| |乡| |XIANG| |104|0|9
141181|141181015|下栅乡| |乡| |XIANG| |104|0|9
141181|141181016|大孝堡乡| |乡| |XIANG| |104|0|9
141181|141181017|胜溪湖街道办事处| |乡| |XIANG| |104|0|9
141181|141181018|崇文街道办事处| |乡| |XIANG| |104|0|9
141123|141123001|瓦塘镇| |乡| |XIANG| |104|0|9
141123|141123002|魏家滩镇| |乡| |XIANG| |104|0|9
141123|141123003|高家村镇| |乡| |XIANG| |104|0|9
141123|141123004|蔡家崖乡| |乡| |XIANG| |104|0|9
141123|141123005|蔚汾镇| |乡| |XIANG| |104|0|9
141123|141123006|奥家湾乡| |乡| |XIANG| |104|0|9
141123|141123007|恶虎滩乡| |乡| |XIANG| |104|0|9
141123|141123008|交楼申乡| |乡| |XIANG| |104|0|9
141123|141123009|罗峪口镇| |乡| |XIANG| |104|0|9
141123|141123010|赵家坪乡| |乡| |XIANG| |104|0|9
141123|141123011|孟家坪乡| |乡| |XIANG| |104|0|9
141123|141123012|康宁镇| |乡| |XIANG| |104|0|9
141123|141123013|固贤乡| |乡| |XIANG| |104|0|9
141123|141123014|东会乡| |乡| |XIANG| |104|0|9
141123|141123015|圪达上乡| |乡| |XIANG| |104|0|9
141123|141123016|蔡家会镇| |乡| |XIANG| |104|0|9
